dataset,root_mode,rf,rt,n_runs,sum_w1,avg_w1,n_pairs,skipped_real,skipped_sim,median_root_to_leaf,seed,tree_path,cc_path,timestamp
ATGC0070,median_synthetic,1,0.031622777,5,16168.63871,577.4513826,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:08:21.524977Z
ATGC0070,median_synthetic,1,0.1,5,10007.93803,357.4263581,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:08:56.530727Z
ATGC0070,median_synthetic,1,0.31622777,5,10033.99507,358.3569669,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:09:34.228173Z
ATGC0070,median_synthetic,1,1,5,3163.274434,112.9740869,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:10:19.348592Z
ATGC0070,median_synthetic,1,3.1622777,5,8586.715041,306.6683943,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:11:26.050014Z
ATGC0070,median_synthetic,1,10,5,12274.13026,438.361795,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:13:34.281130Z
ATGC0070,median_synthetic,3.1622777,0.001,5,5717.892353,204.2104412,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:16:04.089059Z
ATGC0070,median_synthetic,3.1622777,0.0031622777,5,5893.159862,210.4699951,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:18:33.207228Z
ATGC0070,median_synthetic,3.1622777,0.01,5,5736.208207,204.8645788,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:21:00.277386Z
ATGC0070,median_synthetic,3.1622777,0.031622777,5,4114.963269,146.9629739,28,0,0,1.20357,42,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.iq.r.tre,C:\Users\danii\OneDrive\Documents\GitHub\bio_research\ATGC0070\atgc.cc.csv,2025-12-31T16:23:27.867359Z
